geoid,year,median_income,median_rent,population,previous_population,renter_households,rent_burden_pct,dwellings_total,dwellings_single_detached,dwellings_semi_detached,dwellings_row_house,dwellings_apt_duplex,dwellings_apt_low_rise,dwellings_apt_high_rise,owner_households,tenure_renter_households
5350080.02,2021,63600.0,1250.0,4642,4686,1455,39.7,2110,105,140,115,90,330,1310,605,1455
5350081.00,2021,112000.0,1480.0,2848,2848,270,37.7,1090,190,470,0,45,385,0,790,270
5350082.00,2021,115000.0,1350.0,2647,2766,340,35.8,1020,275,355,0,70,310,5,730,340
5350083.00,2021,76500.0,850.0,3869,4052,825,32.9,1800,220,420,30,65,650,395,960,825
5350084.00,2021,118000.0,1280.0,3552,3810,510,38.2,1460,330,370,25,95,585,60,995,505
5350085.00,2021,76000.0,1430.0,4160,3994,1395,40.2,2185,295,210,40,105,495,1025,750,1395
5350086.00,2021,278000.0,2880.0,2528,2661,115,38.1,900,675,40,5,75,105,0,760,110
5350087.00,2021,151000.0,2060.0,4814,5155,750,52.3,2375,590,225,50,55,780,685,1680,755
5350088.00,2021,90000.0,1900.0,3127,3249,880,44.3,1865,0,25,40,0,25,1775,950,885
5350089.00,2021,84000.0,2120.0,5349,3896,1510,55.7,3225,20,55,65,10,95,2975,1585,1510
5350090.00,2021,95000.0,1660.0,4020,4144,1075,42.0,2245,70,200,230,20,240,1480,1300,1070
5350091.01,2021,82000.0,1800.0,5739,6031,2135,50.4,3245,95,155,40,45,710,2195,1115,2140
5350091.02,2021,68500.0,1390.0,3421,3525,1370,37.0,1915,60,75,25,105,695,940,540,1370
5350092.00,2021,84000.0,1640.0,6818,7278,2555,44.0,3480,140,195,85,120,1695,1220,930,2555
5350093.00,2021,102000.0,1740.0,5358,5652,1015,44.8,2220,220,520,140,130,1095,80,1205,1010
5350094.00,2021,90000.0,1500.0,4699,4950,910,41.8,1960,385,375,95,200,880,10,1085,910
5350095.00,2021,88000.0,1430.0,2913,3095,560,36.0,1270,180,270,50,150,615,0,675,560
5350096.01,2021,93000.0,1300.0,1610,1658,280,43.6,645,90,85,60,55,330,0,385,275
5350096.02,2021,85000.0,1600.0,3156,3336,655,47.3,1380,175,150,60,190,715,10,750,660
5350097.01,2021,81000.0,1300.0,3929,4322,795,38.4,1515,180,175,15,150,850,125,720,800
5350097.03,2021,54800.0,1200.0,2078,1207,780,55.9,1210,25,25,20,15,70,1055,425,780
5350097.04,2021,83000.0,1640.0,5031,5462,1215,46.5,2285,170,180,55,110,660,1075,1050,1215
5350098.00,2021,91000.0,1250.0,6976,7099,1415,36.3,3000,150,460,155,65,1675,490,1580,1420
5350099.00,2021,74500.0,1300.0,6282,6585,1990,43.9,3090,325,305,30,155,835,1440,1085,1990
5350100.00,2021,89000.0,1600.0,2961,2956,510,41.8,1440,55,90,30,40,525,695,910,505
5350101.00,2021,91000.0,1450.0,3246,3128,970,35.6,1505,150,105,115,155,970,0,590,965
5350102.02,2021,67000.0,1700.0,4561,4313,2525,40.4,2690,0,0,20,0,155,2510,125,2530
5350102.03,2021,76000.0,1740.0,3576,3682,1820,44.7,2035,30,10,20,10,50,1920,245,1820
5350102.04,2021,110000.0,1660.0,706,671,150,39.3,290,85,25,5,25,150,5,140,145
5350102.05,2021,114000.0,1880.0,842,861,120,33.3,345,70,90,15,25,135,0,210,115
5350103.00,2021,125000.0,1920.0,6195,6050,785,34.2,2645,880,170,25,165,645,750,1905,785
5350104.00,2021,150000.0,1600.0,5476,5525,540,44.4,2055,1135,290,10,150,460,5,1545,540
5350105.00,2021,103000.0,1470.0,4318,4509,635,42.9,1780,440,325,145,190,640,35,1130,640
5350106.00,2021,100000.0,1320.0,3680,3773,420,26.2,1310,100,485,290,90,345,5,870,420
5350107.00,2021,99000.0,1410.0,4851,5085,475,34.4,1735,370,665,45,140,515,0,1260,470
5350108.00,2021,68500.0,900.0,5829,6013,1235,26.3,2460,125,625,265,60,870,505,1225,1230
5350109.00,2021,102000.0,1680.0,5470,5496,865,31.6,2225,265,365,645,130,790,0,1325,870
5350110.00,2021,90000.0,1270.0,3491,3577,505,39.6,1410,285,290,40,220,540,0,910,505
5350111.00,2021,101000.0,1500.0,2442,2507,220,40.9,905,200,350,25,60,265,0,680,220
5350112.00,2021,93000.0,1400.0,4761,5295,610,39.2,1845,475,560,50,115,645,0,1235,610
5350113.00,2021,93000.0,1460.0,2521,2754,575,39.5,1040,270,55,0,165,545,0,480,580
5350114.00,2021,79500.0,1210.0,5164,5349,1200,44.5,2330,415,300,15,125,795,685,1125,1200
5350115.00,2021,85000.0,1300.0,4219,4372,835,27.9,1620,140,350,230,135,650,90,815,835
5350116.00,2021,93000.0,1530.0,4445,4628,815,39.0,1835,360,240,35,80,520,580,980,815
5350117.00,2021,112000.0,1570.0,2518,2211,570,33.6,1270,125,160,135,25,320,500,705,575
