geoid,year,housing_starts_total,housing_starts_total_source,housing_completions,housing_completions_source
5350010.02,2020,0,official,0,official
5350010.02,2021,1,official,0,official
5350010.02,2022,578,official,0,official
5350010.02,2023,0,official,,
5350010.02,2024,1,official,,
5350011.01,2018,153,estimated_parent,391,estimated_parent
5350011.01,2019,925,estimated_parent,0,official
5350011.01,2020,723,estimated_parent,475,estimated_parent
5350011.01,2021,622,estimated_parent,700,estimated_parent
5350011.01,2022,304,estimated_parent,258,estimated_parent
5350011.01,2023,0,official,,
5350011.01,2024,129,official,,
5350011.02,2018,175,estimated_parent,446,estimated_parent
5350011.02,2019,1052,estimated_parent,0,official
5350011.02,2020,822,estimated_parent,541,estimated_parent
5350011.02,2021,708,estimated_parent,796,estimated_parent
5350011.02,2022,346,estimated_parent,294,estimated_parent
5350011.02,2023,2328,official,,
5350011.02,2024,0,official,,
5350011.03,2018,109,estimated_parent,277,estimated_parent
5350011.03,2019,655,estimated_parent,0,official
5350011.03,2020,511,estimated_parent,337,estimated_parent
5350011.03,2021,440,estimated_parent,495,estimated_parent
5350011.03,2022,215,estimated_parent,183,estimated_parent
5350011.03,2023,543,official,,
5350011.03,2024,0,official,,
5350012.01,2018,457,official,625,official
5350012.01,2019,0,official,0,official
5350012.01,2020,0,official,886,official
5350012.01,2021,840,official,0,official
5350012.01,2022,429,official,0,official
5350012.01,2023,0,official,,
5350012.01,2024,0,official,,
5350012.03,2018,0,official,695,official
5350012.03,2019,0,official,0,official
5350012.03,2020,0,official,0,official
5350012.03,2021,0,official,0,official
5350012.03,2022,0,official,0,official
5350012.03,2023,0,official,,
5350012.03,2024,0,official,,
5350012.04,2018,0,official,0,official
5350012.04,2019,0,official,0,official
5350012.04,2020,0,official,0,official
5350012.04,2021,0,official,0,official
5350012.04,2022,0,official,0,official
5350012.04,2023,586,official,,
5350012.04,2024,0,official,,
5350013.01,2018,0,official,0,official
5350013.01,2019,308,official,0,official
5350013.01,2020,0,official,0,official
5350013.01,2021,0,official,300,official
5350013.01,2022,0,official,534,official
5350013.01,2023,0,official,,
5350013.01,2024,0,official,,
5350013.02,2018,0,official,0,official
5350013.02,2019,0,official,0,official
5350013.02,2020,0,official,423,official
5350013.02,2021,0,official,0,official
5350013.02,2022,496,official,0,official
5350013.02,2023,0,official,,
5350013.02,2024,0,official,,
5350014.00,2018,0,official,0,official
5350014.00,2019,0,official,0,official
5350014.00,2020,0,official,0,official
5350014.00,2021,0,official,0,official
5350014.00,2022,0,official,0,official
5350014.00,2023,0,official,,
5350014.00,2024,0,official,,
5350015.00,2018,0,official,255,official
5350015.00,2019,0,official,0,official
5350015.00,2020,0,official,0,official
5350015.00,2021,418,official,669,official
5350015.00,2022,0,official,0,official
5350015.00,2023,546,official,,
5350015.00,2024,0,official,,
5350016.00,2018,417,official,869,official
5350016.00,2019,490,official,334,official
5350016.00,2020,0,official,607,official
5350016.00,2021,521,official,427,official
5350016.00,2022,379,official,1011,official
5350016.00,2023,1020,official,,
5350016.00,2024,484,official,,
5350017.01,2018,157,estimated_parent,0,official
5350017.01,2019,760,estimated_parent,229,estimated_parent
5350017.01,2020,104,estimated_parent,71,estimated_parent
5350017.01,2021,107,estimated_parent,150,estimated_parent
5350017.01,2022,179,estimated_parent,133,estimated_parent
5350017.01,2023,2304,official,,
5350017.01,2024,1738,official,,
5350017.02,2018,429,estimated_parent,0,official
5350017.02,2019,2077,estimated_parent,626,estimated_parent
5350017.02,2020,283,estimated_parent,196,estimated_parent
5350017.02,2021,293,estimated_parent,410,estimated_parent
5350017.02,2022,490,estimated_parent,363,estimated_parent
5350017.02,2023,0,official,,
5350017.02,2024,1376,official,,
5350018.00,2018,311,official,3,official
5350018.00,2019,476,official,744,official
5350018.00,2020,378,official,506,official
5350018.00,2021,227,official,0,official
5350018.00,2022,0,official,0,official
5350018.00,2023,0,official,,
5350018.00,2024,28,official,,
5350019.00,2018,1,official,0,official
5350019.00,2019,0,official,2,official
5350019.00,2020,1,official,0,official
5350019.00,2021,0,official,0,official
5350019.00,2022,1,official,1,official
5350019.00,2023,2,official,,
5350019.00,2024,0,official,,
5350020.00,2018,0,official,0,official
5350020.00,2019,0,official,0,official
5350020.00,2020,0,official,0,official
5350020.00,2021,0,official,0,official
5350020.00,2022,0,official,0,official
5350020.00,2023,0,official,,
5350020.00,2024,0,official,,
5350021.00,2018,3,official,0,official
5350021.00,2019,2,official,3,official
5350021.00,2020,3,official,1,official
5350021.00,2021,6,official,3,official
5350021.00,2022,4,official,4,official
5350021.00,2023,3,official,,
5350021.00,2024,11,official,,
5350022.00,2018,6,official,2,official
5350022.00,2019,2,official,6,official
5350022.00,2020,5,official,2,official
5350022.00,2021,0,official,2,official
5350022.00,2022,0,official,3,official
5350022.00,2023,3,official,,
5350022.00,2024,0,official,,
5350023.00,2018,3,official,2,official
5350023.00,2019,1,official,1,official
5350023.00,2020,2,official,98,official
5350023.00,2021,2,official,0,official
5350023.00,2022,2,official,1,official
5350023.00,2023,2,official,,
5350023.00,2024,7,official,,
5350024.00,2018,25,official,28,official
5350024.00,2019,43,official,1,official
5350024.00,2020,3,official,0,official
5350024.00,2021,4,official,47,official
5350024.00,2022,0,official,2,official
5350024.00,2023,6,official,,
5350024.00,2024,5,official,,
5350025.00,2018,95,official,8,official
5350025.00,2019,8,official,6,official
5350025.00,2020,0,official,96,official
5350025.00,2021,2,official,3,official
5350025.00,2022,0,official,0,official
5350025.00,2023,2,official,,
5350025.00,2024,0,official,,
5350026.00,2018,113,official,10,official
5350026.00,2019,3,official,24,official
5350026.00,2020,26,official,92,official
5350026.00,2021,21,official,25,official
5350026.00,2022,125,official,1,official
5350026.00,2023,772,official,,
5350026.00,2024,24,official,,
5350027.00,2018,55,official,55,official
5350027.00,2019,37,official,13,official
5350027.00,2020,1,official,2,official
5350027.00,2021,2,official,35,official
5350027.00,2022,0,official,1,official
5350027.00,2023,1,official,,
5350027.00,2024,0,official,,
5350028.01,2018,0,official,0,official
5350028.01,2019,0,official,0,official
5350028.01,2020,0,official,0,official
5350028.01,2021,0,official,0,official
5350028.01,2022,0,official,0,official
5350028.01,2023,0,official,,
5350028.01,2024,0,official,,
5350028.02,2018,0,official,2,official
5350028.02,2019,2,official,0,official
5350028.02,2020,0,official,2,official
5350028.02,2021,0,official,0,official
5350028.02,2022,2,official,0,official
5350028.02,2023,0,official,,
5350028.02,2024,3,official,,
5350029.00,2018,7,official,5,official
5350029.00,2019,5,official,4,official
5350029.00,2020,42,official,4,official
5350029.00,2021,5,official,3,official
5350029.00,2022,3,official,0,official
5350029.00,2023,2,official,,
5350029.00,2024,2,official,,
5350030.00,2018,0,official,156,official
5350030.00,2019,12,official,671,official
5350030.00,2020,26,official,0,official
5350030.00,2021,950,official,0,official
5350030.00,2022,0,official,396,official
5350030.00,2023,30,official,,
5350030.00,2024,22,official,,
5350031.00,2018,158,official,0,official
5350031.00,2019,769,official,158,official
5350031.00,2020,0,official,0,official
5350031.00,2021,0,official,435,official
5350031.00,2022,0,official,334,official
5350031.00,2023,631,official,,
5350031.00,2024,213,official,,
5350032.00,2018,0,official,1,official
5350032.00,2019,0,official,0,official
5350032.00,2020,0,official,0,official
5350032.00,2021,0,official,0,official
5350032.00,2022,595,official,0,official
5350032.00,2023,0,official,,
5350032.00,2024,489,official,,
5350033.00,2018,0,official,563,official
5350033.00,2019,624,official,0,official
5350033.00,2020,0,official,1004,official
5350033.00,2021,179,official,0,official
5350033.00,2022,0,official,222,official
5350033.00,2023,0,official,,
5350033.00,2024,80,official,,
5350034.01,2018,441,official,337,official
5350034.01,2019,602,official,698,official
5350034.01,2020,0,official,0,official
5350034.01,2021,0,official,320,official
5350034.01,2022,0,official,0,official
5350034.01,2023,0,official,,
5350034.01,2024,0,official,,
5350034.02,2018,363,official,0,official
5350034.02,2019,0,official,0,official
5350034.02,2020,0,official,784,official
5350034.02,2021,789,official,0,official
5350034.02,2022,777,official,155,official
5350034.02,2023,2286,official,,
5350034.02,2024,569,official,,
5350035.00,2018,174,official,594,official
5350035.00,2019,0,official,174,official
5350035.00,2020,550,official,0,official
5350035.00,2021,0,official,0,official
5350035.00,2022,0,official,550,official
5350035.00,2023,821,official,,
5350035.00,2024,709,official,,
5350036.00,2018,189,official,0,official
5350036.00,2019,0,official,0,official
5350036.00,2020,899,official,189,official
5350036.00,2021,0,official,0,official
5350036.00,2022,0,official,0,official
5350036.00,2023,0,official,,
5350036.00,2024,0,official,,
5350037.00,2018,120,official,0,official
5350037.00,2019,183,official,457,official
5350037.00,2020,243,official,116,official
